time	cue_mean	cue_hi	cue_lo	rew_mean	rew_hi	rew_lo
-2.000	-0.0790	0.0807	-0.2387	0.2053	0.4038	0.0068
-1.967	0.0353	0.2089	-0.1382	-0.2411	-0.0912	-0.3910
-1.933	0.0167	0.1752	-0.1417	0.2352	0.6222	-0.1518
-1.900	-0.2444	-0.0857	-0.4032	0.1944	0.4415	-0.0526
-1.867	-0.3160	-0.1622	-0.4697	0.0184	0.1699	-0.1330
-1.833	-0.0550	0.1176	-0.2276	-0.1258	0.0858	-0.3374
-1.800	0.3661	0.5214	0.2108	0.1670	0.3295	0.0045
-1.767	0.0242	0.1978	-0.1494	-0.1428	0.0107	-0.2963
-1.733	0.2536	0.4783	0.0289	0.0584	0.2382	-0.1214
-1.700	-0.0342	0.1215	-0.1899	0.0608	0.2586	-0.1370
-1.667	-0.0138	0.1526	-0.1803	0.2092	0.4110	0.0074
-1.633	-0.0068	0.1829	-0.1965	-0.1456	-0.0192	-0.2720
-1.600	-0.0295	0.1572	-0.2162	0.0873	0.2482	-0.0735
-1.567	0.0063	0.1543	-0.1418	-0.1547	0.1556	-0.4651
-1.533	-0.1840	0.0210	-0.3890	0.2173	0.3845	0.0502
-1.500	-0.3236	-0.1353	-0.5120	-0.3927	0.0350	-0.8204
-1.467	0.1262	0.3017	-0.0492	-0.0915	0.0179	-0.2010
-1.433	-0.0491	0.0977	-0.1959	-0.0568	0.1376	-0.2512
-1.400	-0.2935	-0.1284	-0.4586	-0.0814	0.0887	-0.2516
-1.367	-0.1433	0.0219	-0.3086	-0.2473	0.1077	-0.6023
-1.333	-0.0102	0.1605	-0.1809	0.0209	0.1581	-0.1163
-1.300	0.1912	0.3521	0.0303	0.3096	0.5391	0.0802
-1.267	-0.0567	0.1074	-0.2208	0.1939	0.4028	-0.0150
-1.233	-0.1139	0.0600	-0.2877	0.1682	0.3293	0.0070
-1.200	0.1061	0.3118	-0.0996	-0.3350	-0.1411	-0.5289
-1.167	0.0475	0.1992	-0.1042	0.2774	0.5366	0.0182
-1.133	0.2333	0.4071	0.0595	0.2677	0.5019	0.0336
-1.100	0.2976	0.4732	0.1219	0.0358	0.2436	-0.1720
-1.067	0.0060	0.1517	-0.1397	0.2275	0.3639	0.0912
-1.033	0.0430	0.2053	-0.1192	0.5501	0.9942	0.1059
-1.000	0.2205	0.4211	0.0198	-0.0042	0.2196	-0.2281
-0.967	0.3122	0.4962	0.1282	-0.1359	0.1789	-0.4508
-0.933	0.5642	0.7409	0.3875	-0.3520	0.1029	-0.8069
-0.900	-0.0166	0.1257	-0.1588	-0.1700	-0.0381	-0.3020
-0.867	0.1808	0.3340	0.0275	-0.5973	-0.2320	-0.9627
-0.833	-0.1116	0.0307	-0.2538	-0.2595	-0.0264	-0.4926
-0.800	0.1662	0.3786	-0.0461	-0.3327	-0.1209	-0.5444
-0.767	0.1098	0.2593	-0.0396	-0.1039	0.0566	-0.2643
-0.733	-0.1082	0.0657	-0.2821	-0.4593	-0.0414	-0.8772
-0.700	-0.1201	0.0626	-0.3027	-0.1032	0.0641	-0.2705
-0.667	-0.1829	0.0416	-0.4075	0.0919	0.4540	-0.2702
-0.633	-0.2647	-0.1011	-0.4283	-0.0164	0.1885	-0.2214
-0.600	-0.1914	-0.0342	-0.3487	-0.4017	0.0060	-0.8094
-0.567	-0.1194	0.0719	-0.3106	-0.4890	-0.0018	-0.9762
-0.533	-0.1335	0.0600	-0.3270	-0.3627	-0.1483	-0.5771
-0.500	-0.2641	-0.0787	-0.4494	0.1795	0.5475	-0.1884
-0.467	-0.2678	-0.0785	-0.4570	0.2769	0.6378	-0.0839
-0.433	-0.0445	0.1404	-0.2293	0.3903	0.6924	0.0882
-0.400	0.1130	0.3063	-0.0804	0.0772	0.2188	-0.0644
-0.367	0.0731	0.2237	-0.0775	-0.0820	0.0245	-0.1886
-0.333	0.2723	0.4660	0.0787	-0.3656	-0.1291	-0.6022
-0.300	0.0148	0.1871	-0.1576	0.4190	0.5675	0.2705
-0.267	-0.0833	0.0844	-0.2509	0.2385	0.4835	-0.0064
-0.233	-0.3144	-0.1292	-0.4997	-0.0824	0.0795	-0.2443
-0.200	-0.1547	0.0165	-0.3260	-0.1779	0.1737	-0.5295
-0.167	0.0448	0.1871	-0.0975	-0.1651	0.1283	-0.4584
-0.133	0.5129	0.6985	0.3273	0.0921	0.2659	-0.0817
-0.100	0.1405	0.2844	-0.0033	0.2746	0.6155	-0.0662
-0.067	0.0349	0.1888	-0.1190	0.8525	1.3014	0.4035
-0.033	-0.0942	0.0987	-0.2871	0.3001	0.4819	0.1183
0.000	-0.2599	-0.0560	-0.4638	0.2055	0.3648	0.0463
0.033	-0.4257	-0.2439	-0.6075	0.1942	0.3562	0.0322
0.067	0.0877	0.2525	-0.0772	0.3533	0.5174	0.1891
0.100	-0.1651	0.0067	-0.3368	0.1690	0.3478	-0.0099
0.133	-0.0656	0.1262	-0.2573	0.7377	0.9997	0.4758
0.167	-0.3510	-0.1224	-0.5797	0.4665	0.5876	0.3455
0.200	-0.1434	0.0256	-0.3125	0.2555	0.4965	0.0144
0.233	-0.2181	-0.0449	-0.3913	0.6240	0.8419	0.4061
0.267	-0.5688	-0.3988	-0.7387	0.6518	0.8212	0.4825
0.300	0.0953	0.2746	-0.0841	0.4135	0.6372	0.1898
0.333	0.0047	0.1643	-0.1549	0.0877	0.4805	-0.3051
0.367	-0.5296	-0.3344	-0.7247	0.6271	1.1326	0.1215
0.400	-0.4477	-0.2924	-0.6030	0.4246	0.7697	0.0795
0.433	-0.4001	-0.2077	-0.5925	0.5973	0.9349	0.2596
0.467	-0.6109	-0.4510	-0.7708	0.5554	0.7076	0.4033
0.500	-0.3941	-0.2124	-0.5758	0.2562	0.5535	-0.0412
0.533	-0.3938	-0.2035	-0.5841	0.1687	0.4898	-0.1525
0.567	-0.5730	-0.4182	-0.7279	0.1995	0.3421	0.0568
0.600	-0.6910	-0.5319	-0.8500	0.6271	0.8684	0.3858
0.633	-0.4459	-0.2799	-0.6120	0.5279	0.7587	0.2970
0.667	-0.3079	-0.1643	-0.4516	0.4546	0.6346	0.2745
0.700	-0.3963	-0.2221	-0.5705	0.8827	1.2719	0.4934
0.733	-0.0558	0.1592	-0.2708	0.3622	0.5607	0.1637
0.767	-0.2247	-0.0052	-0.4443	0.4149	0.7193	0.1105
0.800	-0.6799	-0.4649	-0.8950	0.3709	0.5641	0.1776
0.833	-0.3959	-0.1994	-0.5923	-0.0586	0.3882	-0.5054
0.867	-0.5152	-0.3169	-0.7135	0.0118	0.3860	-0.3625
0.900	-0.3668	-0.1139	-0.6198	0.2379	0.6134	-0.1376
0.933	-0.2720	-0.0937	-0.4503	0.1129	0.6159	-0.3901
0.967	-0.3689	-0.1906	-0.5472	-0.0467	0.4446	-0.5381
1.000	-0.2669	-0.0956	-0.4383	-0.1613	0.2163	-0.5389
1.033	-0.3335	-0.1794	-0.4877	0.1064	0.3906	-0.1777
1.067	-0.4718	-0.3011	-0.6424	0.0722	0.2376	-0.0932
1.100	-0.4140	-0.1860	-0.6421	-0.1781	0.1821	-0.5382
1.133	-0.3565	-0.1796	-0.5335	0.0010	0.2167	-0.2147
1.167	-0.1783	-0.0077	-0.3489	-0.2149	0.1412	-0.5709
1.200	-0.1231	0.0854	-0.3317	-0.2750	0.4335	-0.9836
1.233	-0.1303	0.0617	-0.3224	-0.6295	0.1382	-1.3972
1.267	0.0952	0.3208	-0.1304	-0.4340	0.1194	-0.9873
1.300	-0.2008	-0.0000	-0.4016	-0.2613	0.2629	-0.7854
1.333	0.0142	0.2331	-0.2047	-0.2636	0.2797	-0.8069
1.367	-0.1914	-0.0139	-0.3689	-0.3439	0.0465	-0.7343
1.400	-0.1836	0.0450	-0.4121	-0.1886	0.2674	-0.6447
1.433	-0.2711	-0.0773	-0.4650	-0.5202	0.1308	-1.1712
1.467	0.1168	0.2740	-0.0404	-0.5029	0.2473	-1.2530
1.500	-0.0916	0.1863	-0.3696	-0.5500	0.1337	-1.2337
1.533	-0.2266	-0.0629	-0.3902	-0.5274	0.2564	-1.3112
1.567	-0.2878	-0.1000	-0.4756	-0.3750	0.1591	-0.9092
1.600	-0.2445	-0.0796	-0.4093	-0.8172	-0.0431	-1.5913
1.633	0.3225	0.5565	0.0884	-0.3365	0.2807	-0.9537
1.667	-0.0283	0.1350	-0.1916	-0.0527	0.3443	-0.4497
1.700	-0.1722	0.0082	-0.3526	-0.3261	0.2434	-0.8957
1.733	-0.1272	0.0477	-0.3021	-0.7043	0.1227	-1.5313
1.767	-0.0455	0.1364	-0.2275	-0.1977	0.2769	-0.6722
1.800	-0.1670	0.0507	-0.3847	-0.5608	0.0599	-1.1814
1.833	-0.1081	0.1152	-0.3313	-0.3942	0.0663	-0.8548
1.867	-0.3495	-0.1722	-0.5269	-0.4095	0.1054	-0.9243
1.900	-0.1339	0.0675	-0.3354	-0.3024	0.1450	-0.7497
1.933	0.0094	0.1888	-0.1700	-0.1442	0.1030	-0.3914
1.967	0.0589	0.3042	-0.1864	-0.0568	0.3507	-0.4643
2.000	0.2659	0.4308	0.1010	-0.2407	0.3004	-0.7819
2.033	0.2243	0.4160	0.0327	-0.1157	0.4388	-0.6703
2.067	0.0187	0.2330	-0.1956	-0.3963	0.1396	-0.9322
2.100	-0.1813	0.0197	-0.3823	-0.0264	0.1529	-0.2057
2.133	-0.4139	-0.1940	-0.6338	-0.5176	0.2444	-1.2796
2.167	-0.4077	-0.1986	-0.6168	-0.0185	0.3782	-0.4153
2.200	-0.1654	0.0444	-0.3752	0.0237	0.2726	-0.2251
2.233	-0.0648	0.1092	-0.2389	-0.1237	0.1744	-0.4218
2.267	-0.1254	0.0597	-0.3105	0.1739	0.6954	-0.3475
2.300	-0.1867	0.0174	-0.3909	-0.0875	0.2010	-0.3760
2.333	-0.1613	0.0476	-0.3702	-0.4026	0.1364	-0.9415
2.367	-0.3673	-0.1115	-0.6231	-0.2707	0.3451	-0.8866
2.400	-0.2399	-0.0102	-0.4696	0.0051	0.5043	-0.4940
2.433	-0.3359	-0.1147	-0.5571	-0.0891	0.4631	-0.6414
2.467	-0.3043	-0.1079	-0.5006	-0.2406	0.2962	-0.7774
2.500	-0.1956	-0.0511	-0.3401	-0.5355	0.3139	-1.3848
2.533	-0.1406	0.0418	-0.3229	-0.2638	0.1606	-0.6882
2.567	-0.2402	0.0138	-0.4943	0.0246	0.5359	-0.4868
2.600	-0.1717	0.0417	-0.3851	-0.1045	0.4823	-0.6913
2.633	-0.2082	-0.0581	-0.3582	0.0056	0.3071	-0.2959
2.667	-0.4562	-0.2437	-0.6686	-0.2400	0.2610	-0.7411
2.700	-0.2455	-0.0560	-0.4350	0.0797	0.3426	-0.1832
2.733	-0.1735	0.0362	-0.3831	0.0954	0.2528	-0.0619
2.767	0.0881	0.2586	-0.0825	-0.0517	0.2653	-0.3688
2.800	-0.0420	0.1451	-0.2290	-0.1257	0.3141	-0.5655
2.833	0.1256	0.3135	-0.0623	-0.2337	0.1160	-0.5835
2.867	-0.0077	0.1919	-0.2073	-0.5999	-0.0123	-1.1874
2.900	-0.1055	0.0953	-0.3062	-0.4393	0.1042	-0.9828
2.933	-0.0481	0.1806	-0.2767	-0.2732	0.1050	-0.6514
2.967	-0.0717	0.0986	-0.2421	0.0280	0.1745	-0.1185
3.000	-0.0331	0.1073	-0.1736	0.4753	0.7753	0.1753
3.033	-0.1672	0.0219	-0.3563	-0.2482	0.1012	-0.5976
3.067	-0.2065	-0.0367	-0.3763	-0.6180	-0.1197	-1.1163
3.100	-0.2482	-0.0405	-0.4559	-0.5171	0.0706	-1.1047
3.133	0.0881	0.2825	-0.1063	-0.5336	-0.1270	-0.9401
3.167	-0.0297	0.1490	-0.2083	-0.2179	-0.0581	-0.3778
3.200	-0.0620	0.1562	-0.2802	-0.3486	-0.0887	-0.6085
3.233	0.0560	0.2261	-0.1141	-0.6818	-0.2020	-1.1616
3.267	-0.0048	0.1549	-0.1646	-0.2522	0.1600	-0.6645
3.300	0.1448	0.2973	-0.0078	-0.8057	-0.1902	-1.4211
3.333	0.1528	0.3673	-0.0617	-0.6051	-0.2351	-0.9751
3.367	-0.1232	0.0543	-0.3006	-0.9132	-0.2254	-1.6010
3.400	-0.3536	-0.1674	-0.5398	-0.7638	-0.2934	-1.2341
3.433	-0.2577	-0.0655	-0.4499	-0.7447	-0.1641	-1.3254
3.467	0.0746	0.2348	-0.0855	-0.9809	-0.3126	-1.6492
3.500	0.0862	0.2681	-0.0956	-0.1401	0.0307	-0.3109
3.533	0.0059	0.1937	-0.1819	-0.2098	0.1099	-0.5295
3.567	-0.2662	-0.0962	-0.4362	-0.6728	-0.1970	-1.1486
3.600	-0.1972	-0.0003	-0.3942	-0.7085	-0.0816	-1.3354
3.633	0.1290	0.3154	-0.0574	-0.5949	-0.2518	-0.9381
3.667	-0.1799	-0.0130	-0.3467	-0.2843	0.1264	-0.6950
3.700	-0.0202	0.2042	-0.2445	-0.8548	-0.4576	-1.2519
3.733	-0.1800	-0.0089	-0.3511	-0.4748	-0.1714	-0.7782
3.767	0.2629	0.4191	0.1067	-0.7103	-0.3366	-1.0839
3.800	0.0502	0.2626	-0.1622	-0.6069	-0.2599	-0.9540
3.833	-0.1452	0.0435	-0.3339	-0.1701	0.0325	-0.3727
3.867	0.0386	0.2341	-0.1569	-0.9345	-0.3214	-1.5477
3.900	0.1180	0.3335	-0.0975	-1.0068	-0.3395	-1.6740
3.933	-0.1885	-0.0097	-0.3673	-1.2053	-0.4871	-1.9235
3.967	-0.0807	0.1155	-0.2770	-0.6161	-0.4175	-0.8148
4.000	0.0504	0.2312	-0.1305	-0.5129	-0.1717	-0.8541
4.033	-0.0388	0.1266	-0.2041	-0.6856	-0.4281	-0.9430
4.067	-0.0603	0.1330	-0.2536	-0.7104	-0.3640	-1.0569
4.100	-0.1756	0.0170	-0.3682	-1.0644	-0.3831	-1.7457
